id,name,department,current_shift
199,Joan Le,HR,night
200,Dylan Carlson,IT,evening
201,Colleen Stewart,IT,morning
202,Morgan Rios,Finance,evening
203,Jose Melton,Sales,morning
204,Dylan Saunders,Sales,morning
205,Maria Miller,Finance,night
206,Andrew Mosley,Support,night
207,Sara Lamb,Sales,evening
208,Michelle Lee,Finance,evening
209,Michael Hodges,Sales,evening
210,Melanie Wilson,Finance,evening
211,Lauren Barber,HR,morning
212,William Phillips,Finance,night
213,Jacqueline Bailey,Support,night
214,Jeanne Oliver,Support,morning
215,Adam Freeman MD,Support,evening
216,Keith Parks,HR,morning
217,Christina Cruz,Support,evening
218,Rachel Delgado,HR,night
219,Adam Meza,IT,morning
220,Bruce Barrett,IT,night
221,Lance Caldwell,Support,evening
222,Joshua Lee,Finance,morning
223,Brian Glenn,IT,night
224,Alicia George,Finance,night
225,Dale Barnes,IT,night
226,Kelly Johnson,Finance,morning
227,Susan Jordan,Finance,morning
228,Angela Elliott,Sales,night
229,Victoria Gonzalez,HR,night
230,Danielle Johnston,Sales,evening
231,Ashley Frye,IT,evening
232,Samantha Stout,IT,morning
233,Nicholas Ramirez,Support,night
234,Joel Murphy,Finance,evening
235,Donald Hunt,HR,night
236,Elizabeth Spears,HR,morning
237,Jose Anderson,Sales,morning
238,Dr. John Wiley,HR,morning
239,Monica Buchanan,IT,morning
240,Jamie Alvarez,Support,morning
241,Justin Greene,Support,evening
242,John Atkins,IT,evening
243,Anthony Sanchez,Finance,evening
244,Morgan Powell MD,Sales,night
245,David Gonzalez,Sales,evening
246,David Hodges,HR,night
247,Amy Long,HR,morning
248,Laura Smith,Support,night
249,Deborah Johnson,Support,night
250,Jessica Cook,Support,morning
251,Connie French,Finance,morning
252,Dennis Berry,Sales,evening
253,Kelly Golden,IT,evening
254,Christina Williams,Support,morning
255,Karen Andrade,IT,night
256,Kaylee Humphrey,IT,evening
257,Cameron Jackson,Support,morning
258,Alexandra Foster,Sales,night
259,Gina Mullins,HR,night
260,Dawn Richmond,HR,night
261,Chad Murray,IT,morning
262,Walter Clarke,Support,evening
263,Tina Martin,IT,night
264,Michael Cardenas,Sales,evening
265,Jennifer Adkins,IT,evening
266,Sandra Jones,Support,morning
267,Sarah Ayers,HR,evening
268,Jason Crawford,IT,morning
269,Thomas Flores,Finance,morning
270,Nicholas Walsh,HR,morning
271,Sean Pollard,IT,morning
272,Gregory Robinson,IT,morning
273,Terri Bryant,HR,night
274,Stephen Potter,Finance,night
275,Jennifer Fox,Finance,night
276,Emily Barajas,IT,evening
277,Melinda Ramirez,Finance,evening
278,Sheila Smith,HR,morning
279,Christopher Hansen,Sales,night
280,Cheryl Valdez,Sales,night
281,Melissa Sanchez,IT,night
282,Lisa Hoffman,Support,night
283,Amy Jimenez,HR,night
284,Oscar Johnson,Finance,morning
285,Angela Dunn,HR,morning
286,Susan Miles,Sales,morning
287,Margaret Kim,Finance,evening
288,Anthony Mitchell,Finance,evening
289,Tammy Garza,HR,evening
290,Barbara Acevedo,Support,evening
291,Nancy Garrett,Support,evening
292,Angela Rice,Support,morning
293,Deborah Edwards,Finance,morning
294,Corey Thompson,Support,morning
295,Michael Kaufman,Support,evening
296,Maria Andrews,IT,evening
297,Benjamin Wang,HR,night
298,Suzanne Diaz,HR,morning
299,Cynthia Carrillo,HR,evening
300,Angela Delgado,Sales,night
301,Lori Freeman,HR,night
302,Brandon Contreras,Finance,evening
303,John Barajas,Sales,evening
304,Crystal Adams,HR,evening
305,Darin Herrera,HR,evening
306,Regina Knight,Finance,night
307,Megan Rivera,Support,morning
308,Carol Rogers,IT,night
309,Melissa Hernandez,Support,evening
310,Sarah Fuentes,Finance,evening
311,Andre Sharp,IT,night
312,Pamela Smith,Finance,evening
313,Keith Velasquez,HR,morning
314,Madison Martinez,Sales,evening
315,Mark Rodriguez,Support,evening
316,Richard Meyer,IT,morning
317,Stephen Davis,Finance,evening
318,Victor Benjamin,Finance,evening
319,Wesley Smith,HR,evening
320,Terry Norris,HR,evening
321,John Velazquez,Finance,morning
322,April Scott,HR,evening
323,Justin Watson,Sales,night
324,Virginia White,HR,night
325,Toni Ryan,Finance,night
326,Carol Green,Finance,evening
327,Kim Johnson,HR,evening
328,Benjamin Kim,Support,evening
329,Adam Cervantes,Sales,night
330,Kenneth Thompson,Sales,evening
331,Alexis Torres,HR,evening
332,Jerry Johnson,IT,morning
333,Shannon Cook,HR,morning
334,Rhonda Case,HR,evening
335,Anthony Stephens,Support,morning
336,Julia West,Sales,morning
337,April Jackson,Sales,night
338,Jasmin Shepard,Support,morning
339,Andrew Salas,HR,morning
340,Alexander Phillips DVM,IT,night
341,Mark Garcia,Finance,morning
342,Henry Wright,Finance,morning
343,Allison Mcpherson,HR,night
344,Randall Hall,Support,morning
345,George Hodges,HR,morning
346,Shannon Gonzales,HR,morning
347,Melinda Griffin,IT,evening
348,Kevin Gallegos MD,Support,night
349,Jack Walsh,HR,morning
350,Jason Parker,IT,evening
351,William Norman,Support,evening
352,Amy Johnson,Finance,night
353,Heather Brown,HR,evening
354,Kathy Navarro,HR,night
355,Jeffrey Hudson,IT,night
356,Christopher Frank,IT,evening
357,Phyllis Brooks,HR,morning
358,Julia Evans,Finance,evening
359,David Rose,HR,night
360,Janice Cook,Sales,night
361,Jordan Roberts,HR,evening
362,Richard Hall,Support,morning
363,Karen Martinez,Sales,evening
364,Ashley Wood,IT,night
365,Michael Flores,IT,night
366,Robert Green,HR,evening
367,Joshua Raymond,Support,morning
368,Gerald Ramos,Support,morning
369,Whitney Franklin,Finance,evening
370,Andrew Bradshaw,Sales,evening
371,Jonathan Ortiz,IT,morning
372,Michele Garrett,Finance,morning
373,Kimberly Fox,Sales,night
374,Charles Powell,HR,night
375,Jay Harvey,HR,evening
376,Holly Kelly,HR,evening
377,David Meza,HR,night
378,Lindsey Morrison,Support,evening
379,Sheri Avery,IT,evening
380,Tara Knapp,Finance,night
381,Richard Gomez,Sales,morning
382,David Price,IT,morning
383,Rachel Bond,IT,night
384,Rebecca Zimmerman,Finance,evening
385,Margaret Padilla,Finance,morning
386,Colin Russell,Finance,night
387,Kelly Patton,HR,morning
388,Louis Reed,Sales,evening
389,Melissa Parrish,Sales,evening
390,Sarah Gaines,Finance,night
391,Douglas Bryant,HR,night
392,Jean Jimenez,Sales,evening
393,Michael Peterson,IT,evening
394,Judy Carroll,Support,night
395,Jamie Hoffman,Sales,morning
396,Tina Edwards,Finance,night
397,Samuel Clark,IT,evening
398,Crystal Wilkinson,Finance,evening
399,Jennifer Frank,Support,evening
400,Stephen Lambert,IT,morning
401,Jennifer Proctor,IT,evening
402,Joseph Waters,Sales,evening
403,Andrew Hunt,HR,evening
404,Jeremy Hughes,Sales,night
405,Jamie Crane,Support,morning
406,Wesley Bolton,Sales,morning
407,Michael Smith,Support,night
408,Andrew Kramer,Finance,morning
409,Angel Decker,IT,evening
410,Christina Olsen,HR,night
411,Anthony Lee,Finance,evening
412,Nicole Wyatt,IT,morning
413,Samuel Brown,Finance,night
414,Jeffrey Owens,HR,morning
415,Megan Holmes,Sales,evening
416,Laura Hodges,Sales,evening
417,Chelsea Harper,Support,morning
418,Lisa Lopez,Sales,evening
419,Ronald Reyes,Support,morning
420,Kevin Mills,IT,morning
421,Scott Hill,HR,evening
422,Vanessa Olsen,Support,night
423,Nicole Carrillo,Support,morning
424,Aaron Wilson,Finance,night
425,Kristine Buckley,Sales,morning
426,Jodi Solomon,Finance,evening
427,Jennifer Dunn,HR,evening
428,Cameron Stephens,Finance,evening
429,Rachel Cox,Sales,morning
430,Jonathan Weaver,Finance,morning
431,Brent Moran,Support,evening
432,Wendy Lopez,HR,night
433,Bruce Wilson,IT,morning
434,Elizabeth Ortega,HR,evening
435,Patrick Blake,Sales,evening
436,Tiffany Dunn,Sales,morning
437,Heidi Reed,IT,evening
438,Ashley Butler,Finance,evening
439,Richard Duran,Support,morning
440,Noah Morris,IT,night
441,Melissa Harris,Support,evening
442,Kathleen Peterson,Sales,night
443,Mr. Cory Douglas,IT,evening
444,Amy Obrien,HR,morning
445,Mr. Jordan Allen,HR,morning
446,Jim Hernandez,Sales,evening
447,Derrick Robinson,Sales,morning
448,Nancy Walls,IT,morning
449,Derek King,Sales,evening
450,Nathan Nguyen,HR,night
451,Christopher Hernandez,IT,morning
452,Ernest Johnson,Finance,morning
453,Tracy Joseph,Support,night
454,Lisa Martinez,IT,morning
455,Laura Williams,HR,morning
456,Patricia Hunter,Finance,morning
457,Daniel Marsh,IT,evening
458,Connie Jones,Sales,night
459,Justin Koch,Finance,evening
460,Michael Gibson,Support,evening
461,Randy Bell,IT,night
462,Steven Cox,Support,evening
463,Deborah Lewis,Support,morning
464,Kyle Crane,HR,morning
465,Savannah Rose,Sales,night
466,Cindy Miller,Support,evening
467,Mary Daniels,HR,evening
468,Terri Caldwell,IT,evening
469,Lauren Sanders,IT,evening
470,Amy Craig,IT,evening
471,Charlene Martin,HR,evening
472,Marcus Jones,Finance,morning
473,Kimberly Moreno,HR,morning
474,David Sandoval,IT,night
475,Kristina Murphy,Sales,night
476,Peter Ayala,Finance,night
477,Cheryl James,Support,evening
478,Denise Cruz,HR,morning
479,Nathaniel Mcpherson,HR,morning
480,Laurie Collins,Sales,evening
481,Timothy Alvarado,IT,morning
482,Carl Lee,Finance,night
483,Jason Henderson,Support,morning
484,Tina Parsons,HR,night
485,Mrs. Sara May MD,Support,evening
486,Amy Todd,Finance,night
487,Ian Wong,Finance,evening
488,Ellen Woods,Sales,evening
489,Travis Turner,Support,evening
490,Jason Wang,IT,night
491,William Rogers,Finance,night
492,Anne Myers,Sales,night
493,David Allen,Sales,night
494,David Ford,IT,morning
495,Dr. Matthew Silva,IT,evening
496,Robert Leonard,IT,evening
497,Tina Pierce DDS,Support,night
498,Andrew Garcia,IT,morning
499,Logan Morgan,HR,evening
500,Zachary Ramirez,HR,morning
501,Nicholas Hernandez,Finance,morning
502,Christina Ortega,HR,evening
503,Sandra Baker,Sales,night
504,Kenneth Perry,Finance,morning
505,Rebecca Allen,Support,evening
506,Tina Weaver,IT,evening
507,Dawn Dyer,Support,evening
508,Lorraine Lawson,Finance,evening
509,Kevin Rivera,Finance,evening
510,Jacqueline Parker,HR,evening
511,Colleen Bates,Finance,night
512,Thomas Taylor,HR,evening
513,Sydney Montgomery,Support,night
514,Elizabeth Mcpherson,Finance,night
515,John Jackson,Sales,morning
516,Paige Blake,Finance,evening
517,Cheryl Lindsey,IT,morning
518,Brett Maynard,Support,evening
519,Marissa Lloyd,IT,morning
520,Tracy Jones,HR,morning
521,Connie Wagner,Support,morning
522,Julie Lee,HR,morning
523,Bonnie Rivera,Support,night
524,Tanner Wolfe,Sales,morning
525,Carla Martinez,Finance,morning
526,Emily Torres,Support,night
527,Jessica Davenport,Finance,morning
528,Joseph Young,IT,evening
529,Ashley Watson,Support,evening
530,Dawn Green,Support,morning
531,Russell Parsons,Finance,night
532,Jonathan Ward,Finance,night
533,John Weaver,IT,evening
534,Austin Gutierrez,Support,evening
535,Tracie Alexander,IT,night
536,Kaitlyn Rivers,Support,evening
537,Christine Vaughn,HR,evening
538,Jennifer Mullins,Sales,morning
539,Veronica Hendricks,Finance,morning
540,Daniel Bryant,Support,night
541,Erin Andrews,Finance,night
542,Christian Roth,IT,night
543,Tammy Banks,IT,night
544,Michael Page,Finance,morning
545,Johnathan Lowe,Finance,morning
546,Russell Jackson,Sales,evening
547,Frank Kim,Sales,night
548,Christopher Boyle,Finance,morning
549,Dale Wilson,IT,morning
550,Jessica Moody,HR,evening
551,Erin Silva,HR,evening
552,Samuel Hall Jr.,IT,night
553,Nicole Hamilton,IT,night
554,Karen Thompson,Support,evening
555,Monica Thompson,Sales,evening
556,Brittany Fowler,HR,evening
557,Andrew Mendoza,HR,morning
558,Laurie Tate,HR,night
559,Brian Simmons,Finance,night
560,James Anderson,Finance,morning
561,Michele Sullivan,Finance,morning
562,Rhonda Gonzalez,Support,morning
563,Joseph Lawrence,Finance,morning
564,Shelby Bryant,Support,morning
565,Colleen Scott,HR,morning
566,Maria Stephens,Sales,night
567,Jaime Smith,Sales,night
568,Kenneth Cruz,IT,morning
569,Stephanie Douglas,Support,evening
570,Catherine Brennan,Finance,evening
571,Robert Salazar,Support,night
572,Kristin Garcia,HR,night
573,Joseph Cole,IT,morning
574,Laurie Boyle,IT,evening
575,Johnny Bennett,IT,night
576,Travis Salinas,Sales,morning
577,Daniel Wallace,IT,morning
578,Rebecca Kaufman,Support,night
579,Jeremy Jones,Finance,evening
580,Katie Richardson,Finance,morning
581,David Young,Finance,night
582,Richard Davis,HR,morning
583,Kelly Stevens,IT,evening
584,Christopher Perez,HR,night
585,Mary Ibarra,IT,evening
586,Stephen Black,Finance,evening
587,Francisco Burns,HR,night
588,Jennifer Lynch,Finance,evening
589,Nicole Ferguson,IT,evening
590,Sherry Lopez,Support,morning
591,Sean Colon,Sales,morning
592,Jesse Stanton,Finance,night
593,Hannah Glenn,HR,night
594,Joseph Garrett,Finance,evening
595,Calvin Wallace,Support,morning
596,Cassandra Johnson,Sales,night
597,Lisa Sullivan,Support,morning
598,Dr. Edward Joseph MD,Sales,evening
599,Christine Taylor,HR,morning
600,Michael Berry,HR,morning
601,Shannon Weber,Finance,morning
602,Whitney Freeman,Sales,morning
603,Theresa Gutierrez,IT,evening
604,Nicole Knight,IT,morning
605,Samantha Conley,Sales,evening
606,Antonio Campos,IT,evening
607,Maria Robinson,HR,evening
608,Michael Fitzpatrick,HR,night
609,Danielle Lin,Support,morning
610,Holly Byrd,IT,morning
611,Justin Mccarty,Support,morning
612,Jerry Green,IT,morning
613,William Singleton,HR,morning
614,Danielle Alexander,Support,evening
615,Daniel Rose,HR,morning
616,Nathan Phillips,Finance,morning
617,Courtney Daniels,Sales,evening
618,Lauren Klein,Sales,morning
619,Juan Molina,Finance,morning
620,Joseph Hoffman,HR,night
621,Cole Warren,HR,morning
622,Shawn Maldonado,HR,evening
623,Stuart Obrien,Finance,evening
624,Kelly Wright,Finance,morning
625,Carl Campbell,Finance,evening
626,Joel Davis,Support,evening
627,Megan Robinson,Support,night
628,Terry Tanner,Sales,night
629,Charles Morgan,IT,evening
630,Rachel Johnson,Finance,night
631,James Cooper,HR,morning
632,Danielle Robinson,HR,night
633,Jacob Rodriguez,Finance,morning
634,Michelle Maldonado,Support,evening
635,Stephen Smith,Finance,evening
636,Margaret Johnston,IT,morning
637,Diane Wright,HR,night
638,Andrew Hendricks,Support,evening
639,Dakota Jackson,IT,evening
640,Jennifer Blair,Finance,night
641,Larry Perez,HR,evening
642,Jordan Colon,Sales,morning
643,James Williams,Support,morning
644,Isaiah Williams,IT,evening
645,Rachel Ramirez,Support,night
646,Dawn Jones,IT,night
647,Virginia Lyons,Finance,morning
648,Tracy Suarez,HR,evening
649,Brian Santos,Support,morning
650,Kyle Butler,Sales,night
651,Tonya Hansen,IT,evening
652,Kimberly Richardson,Support,morning
653,Samantha Weiss,HR,evening
654,Jennifer Moore MD,Finance,evening
655,Glenn White,HR,morning
656,Stacy Jones,Support,night
657,Michael Moreno,IT,evening
658,Charles Woodard,Sales,morning
659,Jessica Smith,Finance,morning
660,Megan Patrick,IT,morning
661,Richard Williams,IT,evening
662,Jared Sparks,IT,night
663,Johnny Mccullough,Finance,morning
664,Olivia Winters,Support,morning
665,Justin Smith,Support,night
666,Kelsey Fisher,Support,evening
667,Kevin Garza,Sales,evening
668,Steven Reyes,HR,morning
669,Tammy Sanders,Sales,night
670,Pamela Allen,IT,evening
671,Pamela Fisher,IT,night
672,Kelly Lee DVM,Support,morning
673,Sherry Johns,Support,evening
674,Randy Smith,IT,morning
675,Justin Diaz,Finance,night
676,Jodi Dixon,Support,evening
677,Gerald Adams,Support,night
678,Phillip Goodman,Support,morning
679,Christina Campbell,Finance,night
680,Paul Morgan,Finance,morning
681,Kathleen Little,IT,morning
682,John Knight,Support,night
683,Tammy Horton,Support,night
684,Jessica Anderson,Sales,morning
685,Timothy Browning,HR,evening
686,Kevin Weeks,Sales,night
687,Anna Reed,Support,morning
688,Todd Gonzalez,IT,evening
689,Mr. Brett Hunt MD,Support,night
690,Shawn Espinoza,IT,night
691,Alexander Johnson,HR,night
692,Brady Ponce,Support,evening
693,Jennifer Walls,HR,night
694,Jennifer Williams,HR,night
695,James Hughes,IT,morning
696,Bryan Ward,IT,evening
697,Tommy Deleon,Support,night
698,Kelli Mckinney,IT,morning
699,Jeffrey Wilson,Sales,morning
700,Kevin Sanchez,HR,night
701,Justin Hawkins,HR,morning
702,Jennifer Simmons,HR,evening
703,Melissa Richardson,Finance,morning
704,Brandy Morgan,Support,night
705,Julie Foley,Finance,evening
706,Kyle Gilmore,Sales,morning
707,Samuel Robinson,IT,morning
708,John Hendrix,IT,evening
709,Julie Colon,Finance,evening
710,Danielle Hernandez,HR,morning
711,Mr. Vincent Brown,HR,night
712,Zachary Paul,IT,night
713,James Jones,Sales,morning
714,Kristen Walker,Finance,morning
715,Mary Smith DVM,IT,evening
716,Anthony Burns,Finance,evening
717,Kenneth Adams,Sales,evening
718,Lynn Olson,Support,morning
719,David Thomas,IT,morning
720,Jennifer Evans,Finance,night
721,Jared Bray,Sales,morning
722,Douglas Le,IT,morning
723,Sue Scott,Sales,morning
724,Stephen Benton,Sales,evening
725,Mrs. Sydney Russell DDS,Sales,evening
726,Shannon Carter,Support,evening
727,Patrick Fuller,IT,night
728,Martin Martin,Sales,night
729,Tanner Coffey,Sales,evening
730,Hunter Mccullough,IT,night
731,Angela Schneider,Support,morning
732,Juan Cortez,Sales,night
733,Joanna Duncan,Support,morning
734,Tyler Brewer,Sales,morning
735,Colleen Perry,Sales,night
736,Brad Jacobson,Support,morning
737,Ashley Smith,HR,night
738,David Terrell,HR,night
739,Samuel Jimenez,Sales,night
740,Ashley Rowe,Support,evening
741,Justin Wagner,IT,morning
742,Stephen Ramirez,Sales,morning
743,Ryan Owen,IT,morning
744,Ian Brown,Finance,night
745,Angela Ferguson,IT,evening
746,Jenna Hanson,IT,night
747,John Kelley,Sales,morning
748,Jesse Davis,Support,night
749,Brian Mitchell,Sales,morning
750,Caitlin Walker,Sales,morning
751,Jennifer Michael,Finance,evening
752,Julia Nelson,IT,evening
753,Patrick Gonzales,Sales,night
754,Tyler Rowe,Sales,evening
755,Joseph Butler,Finance,night
756,Miranda Keller,Finance,night
757,Taylor Jones,Sales,night
758,Jennifer Mcdowell,Finance,night
759,Jennifer Phillips,Sales,evening
760,Jaime Vaughn,HR,evening
761,James Boyd,IT,morning
762,Sabrina Hodges,Support,evening
763,Jerry Riley,IT,morning
764,Nancy Lopez,HR,night
765,Jennifer Williams,IT,evening
766,Erica Nelson,IT,evening
767,Gregory Long,IT,evening
768,Kevin Gomez,Finance,evening
769,Joseph Beasley,IT,evening
770,Mr. Kevin Flores Jr.,Sales,night
771,Lisa Hernandez,Finance,morning
772,Jenna Reynolds,Sales,evening
773,Christina Gomez,Sales,morning
774,Jordan Whitaker,Sales,morning
775,Michelle Strickland,Sales,night
776,Michael Barry,Finance,night
777,Patrick Bradley,Finance,morning
778,Garrett Harrell,Support,evening
779,Samantha Callahan,Support,night
780,Brittney Carter,HR,night
781,Ryan Klein,IT,morning
782,Matthew Brewer,Support,evening
783,Tiffany Norton,Sales,evening
784,Wanda Brown,HR,evening
785,Tyler Sanchez,Finance,night
786,Christian Howe,Support,night
787,Rebecca Summers,Support,morning
788,Aaron Hanson,Finance,night
789,Michelle Armstrong,Sales,night
790,Paula Fleming,HR,night
791,Carrie Green,Finance,night
792,Catherine Dalton,Finance,night
793,Kimberly Ali,IT,morning
794,Samantha Carroll,Support,morning
795,Russell Roach,IT,morning
796,Ashley Smith,Sales,night
797,Michael Richards,HR,night
798,Aaron Atkins,HR,morning
799,Emily Johnson,Support,morning
800,Brandon Cunningham,Finance,night
801,Shelly Owens,IT,morning
802,Joshua Phillips,HR,night
803,Sharon Nelson,Sales,evening
804,Daniel Bailey,HR,evening
805,Kathleen Martinez,HR,night
806,Ralph Shelton,HR,morning
807,Megan Alexander,Sales,night
808,Tina Bridges,Finance,morning
809,Brent Jensen,Finance,morning
810,Stephen Castro,Sales,evening
811,Jerome Bruce,HR,morning
812,David Bird,HR,evening
813,Christian Ibarra,Finance,evening
814,Edward Villegas,IT,evening
815,Susan Morrison,Support,night
816,Natalie Payne,HR,morning
817,Ashley Goodman,Sales,night
818,Donald Cole,IT,morning
819,Timothy Brown,Support,morning
820,Ryan Williams,Sales,morning
821,Jordan Allen,Sales,evening
822,Michelle Valdez,IT,night
823,Heather Choi,Finance,evening
824,Jason Garcia,Finance,morning
825,Brianna Green,Finance,night
826,Christopher White,Sales,morning
827,Katrina Wright,IT,evening
828,Deborah Parks,Support,evening
829,Keith Cole,Support,night
830,Mrs. Bonnie Noble,HR,night
831,Jared Butler,Sales,night
832,Deborah Leon,IT,morning
833,Heather Wright,IT,morning
834,Joseph Warner,HR,morning
835,Karen Hunter,Sales,night
836,Danielle Singleton,HR,morning
837,Amy Palmer,Finance,morning
838,Wesley Chase,Sales,morning
839,Tanya Valentine,IT,evening
840,Andrew Silva,IT,evening
841,Angela Schmidt,Support,morning
842,John Branch,HR,evening
843,Peggy Sampson,Finance,morning
